"id","dateTime","numJobs","numWarnings","numInterruptions","numVmsStart","numVmsTotal","numVmsUnused","makespan","totalCosts","id..11","expId","numOfRuns","region","availabilityZone","operatingSystem","checkpointingEnabled","daxFiles","schedulingPlanningAlgorithm","biddingStrategy","biddingParameter","purchaseStrategy","resultDatabase","timestampProvider","spotPriceDatabase","spotPriceTable","checkpointTimeBounds","migrationTimeBounds","waitingTimes"
1,"2019-07-18T11:41:42.862",1000,0,0,6,6,0,162.68265462544,0.0345,1,1,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
2,"2019-07-18T11:41:44.960",1000,0,0,6,6,0,163.658981598793,0.0345,2,2,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
3,"2019-07-18T11:41:46.467",1000,0,0,6,6,0,162.749606988436,0.0343,3,3,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
4,"2019-07-18T11:41:47.865",1000,0,0,6,6,0,165.685744243338,0.0348,4,4,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
5,"2019-07-18T11:41:49.409",1000,0,0,6,6,0,163.866912619407,0.0344,5,5,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
6,"2019-07-18T11:41:50.821",1000,0,0,6,6,0,163.613454147813,0.0347,6,6,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
7,"2019-07-18T11:41:52.147",1000,0,0,6,6,0,162.614344469583,0.0343,7,7,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
8,"2019-07-18T11:41:53.509",1000,0,0,6,6,0,162.40684248366,0.0343,8,8,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
9,"2019-07-18T11:41:54.880",1000,1,0,6,7,0,170.872090940044,0.0469,9,9,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
10,"2019-07-18T11:41:56.176",1000,0,0,6,6,0,163.707346480643,0.0347,10,10,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
11,"2019-07-18T11:41:57.589",1000,2,0,6,8,0,164.76889638009,0.0528,11,11,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
12,"2019-07-18T11:41:58.963",1000,1,0,6,7,0,164.905769758673,0.0477,12,12,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
13,"2019-07-18T11:42:00.500",1000,0,0,6,6,0,162.611589793866,0.0342,13,13,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
14,"2019-07-18T11:42:01.841",1000,1,0,6,7,0,168.739685872298,0.0386,14,14,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
15,"2019-07-18T11:42:03.154",1000,1,0,6,7,0,167.778385394671,0.0433,15,15,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
16,"2019-07-18T11:42:04.588",1000,0,0,6,6,0,162.849738109603,0.0345,16,16,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
17,"2019-07-18T11:42:05.888",1000,1,1,6,7,0,169.669516742081,0.1084,17,17,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
18,"2019-07-18T11:42:07.395",1000,0,0,6,6,0,163.119667219708,0.0345,18,18,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
19,"2019-07-18T11:42:08.671",1000,0,0,6,6,0,163.683280191051,0.0345,19,19,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
20,"2019-07-18T11:42:10.100",1000,0,0,6,6,0,162.713286349924,0.0344,20,20,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
21,"2019-07-18T11:42:11.454",1000,0,0,6,6,0,163.083469632981,0.0342,21,21,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
22,"2019-07-18T11:42:12.917",1000,0,0,6,6,0,162.659006058321,0.0344,22,22,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
23,"2019-07-18T11:42:14.227",1000,0,0,6,6,0,164.545355580694,0.0348,23,23,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
24,"2019-07-18T11:42:15.645",1000,0,0,6,6,0,163.172264479638,0.0345,24,24,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
25,"2019-07-18T11:42:16.952",1000,0,0,6,6,0,162.776253217697,0.0343,25,25,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
26,"2019-07-18T11:42:18.272",1000,0,0,6,6,0,163.033030693816,0.0344,26,26,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
27,"2019-07-18T11:42:19.668",1000,0,0,6,6,0,163.048715937657,0.0344,27,27,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
28,"2019-07-18T11:42:20.987",1000,0,0,6,6,0,163.965691452991,0.0345,28,28,30,"us-east-1","A","LINUX","true","config/dax/Montage_1000.xml|","HEFT","ON_DEMAND_BID_PRICE",0,"SAME_ON_DEMAND","results/examples/api/scheduleTests.db","","","","1.0-5.0","1.0-5.0","timeRange=0.0-4.0 fulfillmentProbability=1.0|"
