"","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm","makespan","totalCosts","vmType","provisioningRate","numVmsStart","numVmsTotal","numVmsUnused","capacityInterruptionRate","numInterruptions","daxFiles","schedulingPlanningAlgorithm"
"1",178.569459175465,0.0944,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",178.242533308195,0.1088,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"2",176.591041402715,0.0612,"SPOT",1,6,9,0,0.25,0,"Montage_1000.xml|","EVOLUTION",176.791254901961,0.0902,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"3",177.401908496732,0.1379,"SPOT",1,6,10,0,0.25,0,"Montage_1000.xml|","EVOLUTION",179.468183986928,0.0426,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"4",173.688256234288,0.108,"SPOT",1,6,9,0,0.25,0,"Montage_1000.xml|","EVOLUTION",179.885575582995,0.1221,"SPOT",1,6,10,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"5",172.635733785822,0.0365,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",173.908439542484,0.0456,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"6",178.22900619614,0.0531,"SPOT",1,6,8,0,0.25,1,"Montage_1000.xml|","EVOLUTION",181.181184690799,0.1105,"SPOT",1,6,11,0,0.3,0,"Montage_1000.xml|","EVOLUTION"
"13",174.239485847159,0.0368,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",180.622343112117,0.0978,"SPOT",1,6,9,0,0.3,3,"Montage_1000.xml|","EVOLUTION"
"14",177.637511513323,0.1138,"SPOT",1,6,9,0,0.25,1,"Montage_1000.xml|","EVOLUTION",179.744411865259,0.0528,"SPOT",1,6,9,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"15",173.540592433384,0.0366,"SPOT",1,6,6,0,0.25,0,"Montage_1000.xml|","EVOLUTION",177.547682528909,0.0441,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"16",177.024808182175,0.1032,"SPOT",1,6,9,0,0.25,3,"Montage_1000.xml|","EVOLUTION",177.811697285068,0.1234,"SPOT",1,6,10,0,0.3,4,"Montage_1000.xml|","EVOLUTION"
"17",180.09957008547,0.1359,"SPOT",1,6,11,0,0.25,0,"Montage_1000.xml|","EVOLUTION",177.698406133735,0.1088,"SPOT",1,6,8,0,0.3,2,"Montage_1000.xml|","EVOLUTION"
"18",176.961575520708,0.13,"SPOT",1,6,9,0,0.25,3,"Montage_1000.xml|","EVOLUTION",180.492927467481,0.1108,"SPOT",1,6,9,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"25",179.810317370538,0.0494,"SPOT",1,6,7,0,0.25,1,"Montage_1000.xml|","EVOLUTION",176.666280542986,0.0571,"SPOT",1,6,8,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
"26",176.870137380593,0.113,"SPOT",1,6,9,0,0.25,3,"Montage_1000.xml|","EVOLUTION",176.656699037102,0.0489,"SPOT",1,6,7,0,0.3,1,"Montage_1000.xml|","EVOLUTION"
